names,links,lat,lon,hotel_note,description
Le Général Hôtel,https://www.booking.com/hotel/fr/legeneral.fr.html,48.83,2.315,9.0,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Général Hôtel ! Connectez-vous pour économiser. Le Général Hôtel se trouve à seulement 5 minutes de la place de la République, dans le 11ème arrondissement. Il dispose d'un centre de remise en forme avec sauna. Les hébergements comprennent une machine à café Nespresso, une télévision à écran plat et une connexion Wi-Fi gratuite.Toutes les chambres sont climatisées et dotées d'une station d'accueil pour iPod. Les salles de bains privatives sont pourvues d'articles de toillette L'Occitane, d'un sèche-cheveux et d'une baignoire ou d'une douche.Vous pourrez savourer un petit-déjeuner buffet sucré et salé en salle ou être servi directement dans votre chambre. Vous pourrez également vous détendre au bar de l'hôtel et profiter de la sélection de journaux internationaux.Le Général Hôtel est à 350 mètres de la station de métro République qui propose des correspondances avec 4 lignes de métro. Les boutiques et les cafés du quartier populaire du Marais sont à 500 mètres. Le Centre Georges Pompidou se trouve à 30 minutes à pied de l'hôtel. "
Relais Hôtel du Vieux Paris,https://www.booking.com/hotel/fr/relaishotelvieuxparis.fr.html,48.83,2.315,9.1,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Relais Hôtel du Vieux Paris ! Connectez-vous pour économiser. Le Relais Hôtel du Vieux Paris est un établissement de caractère, situé dans le centre de Paris, près de la Seine, de la place Saint-Michel et de la cathédrale Notre-Dame. Il possède des chambres décorées de façon individuelle avec des poutres apparentes.Toutes les chambres climatisées du Relais Hôtel du Vieux Paris sont équipées d'une connexion Wi-Fi gratuite, d'une télévision et d'une salle de bains privative. Certaines d'entre elles disposent d'une mezzanine ou d'une baignoire spa et quelques-unes offrent une vue sur les toits de Paris. Toutes sont en outre desservies par un ascenseur.Un petit-déjeuner continental est servi chaque matin dans la salle à manger de style classique. Vous pourrez également le déguster dans le confort de votre chambre.Le Relais Hôtel du Vieux Paris propose toute une gamme de services, notamment une réception ouverte 24h/24 avec un concierge qui vous aidera à obtenir des tickets pour les musées et organiser votre transfert vers l'aéroport ou la gare.Vous trouverez à 50 mètres la station de métro Saint-Michel, permettant un accès direct aux Invalides, aux gares du Nord et de l'Est, ainsi qu'aux aéroports d'Orly et de Roissy en RER. Enfin, vous rejoindrez à 800 mètres le jardin du Luxembourg et le musée du Louvre. "
Manolita Paris,https://www.booking.com/hotel/fr/manolita.fr.html,48.83,2.315,9.5,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Manolita Paris ! Connectez-vous pour économiser. Situé à Paris, à 500 mètres de la station de métro Pigalle, le Manolita Paris propose un hébergement 5 étoiles et un bar. Cet hôtel 5 étoiles propose un service d'étage, une réception ouverte 24h/24 et une connexion Wi-Fi gratuite. Cet établissement hypoallergénique se trouve à 600 mètres de la salle de concert La Cigale.Les chambres climatisées comprennent un bureau, une machine à café, un minibar, un coffre-fort, une télévision à écran plat et une salle de bains privative avec douche. Certaines possèdent un balcon. Le linge de lit et les serviettes sont fournis.Un petit-déjeuner à la carte, continental et américain est servi chaque matin.Vous séjournerez à proximité de la gare Saint-Lazare, de l'opéra Garnier et de la station de métro Gare du Nord. L'aéroport de Paris-Orly, le plus proche, est implanté à 19 km. "
SO Paris Hotel,https://www.booking.com/hotel/fr/so-paris.fr.html,48.83,2.315,9.0," Situé à Paris, à moins de 1,2 km de Paris-Gare-de-Lyon, le SO Paris Hotel propose un service de concierge, des chambres non-fumeurs, une terrasse, une connexion Wi-Fi gratuite dans l'ensemble de ses locaux et un bar. Il propose un restaurant, un service de prêt de vélos, une piscine intérieure et une salle de sport. Un parking privé est disponible sur place.Les chambres climatisées comprennent une armoire, une machine à café, un minibar, un coffre-fort, une télévision à écran plat et une salle de bains privative avec douche. Les chambres sont équipées d'une bouilloire. Certaines possèdent un balcon et d'autres offrent une vue sur la ville. Le linge de lit et les serviettes sont fournis.Un petit-déjeuner à la carte est servi chaque matin.Le SO Paris Hotel propose un hébergement 5 étoiles avec un centre de spa.Le personnel de la réception ouverte 24h/24 parle allemand, anglais, espagnol et français.Vous séjournerez à proximité de la cathédrale Notre-Dame, de l'Opéra Bastille et du Centre Pompidou. L'aéroport de Paris-Orly, le plus proche, est implanté à 16 km. "
Bulgari Hotel Paris,https://www.booking.com/hotel/fr/bvlgari-paris.fr.html,48.83,2.315,9.7," Situé sur l'avenue George V, le Bulgari Hotel Paris est le dernier joyau du Triangle d'Or de la Ville Lumière.L'hôtel, son bar-salon animé, l'élégant Il Ristorante - Niko Romito et son somptueux Spa représentent une aire de jeux unique pour les émotions, un cadeau pour les Parisiens et l'Internationale « dans le sait.Situé à Paris, le Bulgari Hotel Paris possède un restaurant, une piscine extérieure, une salle de sport et un bar. Il propose des chambres familiales et une terrasse. Il propose une réception ouverte 24h/24, un service d'étage et une bagagerie.Le Penthouse Bugari de 1000m2 avec son propre jardin privé sur le toit et 76 résidences luxueuses imprégnées d'une touche italienne instantanée et d'une vue imprenable à 360° sur Paris.Les chambres climatisées comprennent une armoire, une machine à café, un minibar, un coffre-fort, une télévision à écran plat et une salle de bains privative avec douche.Le Bulgari Hotel Paris sert un petit-déjeuner continental ou à la carte.L'établissement possède un centre de spa et de bien-être comprenant un hammam, un jacuzzi et un sauna. Le grand spa dispose d'une piscine de 25 mètres.Vous séjournerez à proximité de l'Arc de Triomphe, de la tour Eiffel et du musée de l'Orangerie. L'aéroport de Paris-Orly, le plus proche, est implanté à 16 km. "
Hôtel Monsieur Aristide,https://www.booking.com/hotel/fr/monsieur-aristide-paris1.fr.html,48.83,2.315,9.1,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Monsieur Aristide ! Connectez-vous pour économiser. Situé à Paris, l'Hôtel Monsieur Aristide possède un jardin, une terrasse, un restaurant et un bar. Cet hôtel 4 étoiles propose un service de concierge et une bagagerie. Il propose une réception ouverte 24h/24, des transferts aéroport, un service d'étage et une connexion Wi-Fi gratuite dans l'ensemble de ses locaux.Les chambres disposent de la climatisation, d'un bureau et d'une télévision à écran plat. Certaines possèdent un balcon. Le linge de lit et les serviettes sont fournis.Un petit-déjeuner buffet, végétarien ou sans gluten est servi sur place.Vous séjournerez à proximité de la salle de concert La Cigale, de la station de métro Pigalle et de la station de métro Gare du Nord. L'aéroport de Paris-Orly, le plus proche, est à 20 km. "
Paris j'Adore Hotel & Spa,https://www.booking.com/hotel/fr/paris-j-39-adore-amp-spa.fr.html,48.83,2.315,9.1," Situé à Paris, le Paris j'Adore Hotel & Spa vous accueille dans un établissement 5 étoiles avec un restaurant et un bar. Cet hôtel 5 étoiles propose une terrasse ainsi que des chambres climatisées avec une connexion Wi-Fi gratuite et une salle de bains privative. L’établissement met à votre disposition une bagagerie ainsi que des services d’étage et de concierge.Les chambres sont dotées d’un bureau. Les logements sont équipés d’une machine à café, et certains comprennent un balcon. Toutes les chambres sont dotées d'une télévision par satellite et d'un iPad.Le Paris j'Adore Hotel & Spa sert un petit-déjeuner continental ou à la carte.Le personnel de la réception ouverte 24h/24, qui parle français, anglais, espagnol et portugais, pourra vous renseigner à tout moment.L’hôtel se trouve à proximité de sites d’intérêt tels que la gare Saint-Lazare, l’opéra Garnier et la station de métro Pigalle. L'aéroport le plus proche, celui de Paris-Charles de Gaulle, est accessible à 24 km du Paris j’Adore Hotel & Spa. "
Château Voltaire,https://www.booking.com/hotel/fr/chateau-voltaire.fr.html,48.83,2.315,9.4," Idéalement situé à Paris, le Château Voltaire propose des chambres climatisées, un restaurant, une connexion Wi-Fi gratuite et un bar. Chaque hébergement de cet hôtel 5 étoiles offre une vue sur la ville et vous aurez accès à un sauna. Des services d'étage et de change sont assurés. La réception est ouverte 24h/24.Les chambres sont équipées d'une télévision par satellite à écran plat et d'un coffre-fort. Leur salle de bains privative est pourvue d'articles de toilette gratuits. Certaines chambres sont équipées d'une cuisine avec un réfrigérateur. Le linge de lit et les serviettes sont fournis.Un petit-déjeuner à la carte, continental et américain est servi tous les jours.Vous séjournerez à proximité du musée du Louvre, de l'opéra Garnier et de la gare Saint-Lazare. L'aéroport de Paris-Orly, le plus proche, est implanté à 17 km. "
hotelF1 Paris Porte de Châtillon,https://www.booking.com/hotel/fr/hotelf1-paris-porte-de-chatillon-paris.fr.html,48.83,2.315,7.2," Situé dans le 14e arrondissement de Paris, à 4 km du jardin du Luxembourg, l'hotelF1 Paris Porte de Châtillon propose une connexion Wi-Fi gratuite dans l'ensemble de ses locaux.Les chambres disposent d’une télévision à écran plat, Vous aurez accès à une salle de bains commune.La réception de l’établissement est ouverte 24h/24. Un petit-déjeuner buffet est servi tous les jours, moyennant des frais supplémentaires. Des distributeurs automatiques sont également disponibles dans le hall.L’hôtel se trouve à 5,7 km de la cathédrale Notre-Dame de Paris et à 6,2 km de la tour Eiffel. L'aéroport de Paris-Orly est situé à 12 km. "
HotelF1 Paris Saint Ouen Marché Aux Puces,https://www.booking.com/hotel/fr/hotelf1-paris-porte-de-montmartre.fr.html,48.83,2.315,6.3," Doté d'une connexion Wi-Fi gratuite dans l'ensemble de ses locaux, l'HotelF1 Le Paris Saint Ouen Marché Aux Puces Rénové propose des chambres avec une télévision à écran plat. L'hôtel se trouve à seulement quelques pas du marché aux puces et à 10 minutes à pied de la station de métro Garibaldi.Vous bénéficierez de l’accès à une salle de bains commune. Un petit-déjeuner buffet est servi tous les matins et des distributeurs automatiques sont à votre disposition dans le hall. Vous pourrez acheter des serviettes en microfibre moyennant des frais supplémentaires 3 EUR par pièce.La réception de l’établissement est ouverte 24h/24. Marne-la-Vallée se trouve à 33 km de l'HotelF1. Vous séjournerez à 18 km de Versailles. L’aéroport de Paris-Orly est installé à 19 km. "
La Planque Hotel,https://www.booking.com/hotel/fr/la-planque-paris.fr.html,48.83,2.315,9.1,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Planque Hotel ! Connectez-vous pour économiser. L'hôtel La Planque à Paris propose un hébergement 3 étoiles avec un salon commun et une terrasse. Doté d’un jardin, cet hôtel 3 étoiles propose des chambres pourvues de la climatisation, d’une connexion Wi-Fi gratuite ainsi que d’une salle de bains privative. Sur place, vous pourrez profiter d’une bagagerie et de services d’étage et de concierge.Les chambres de l’hôtel comprennent un bureau. Vous bénéficierez également d'une télévision à écran plat et d'articles de toilette gratuits.Un petit-déjeuner buffet est proposé tous les matins sur place.Parlant français, anglais, arabe et allemand, le personnel de la réception ouverte 24h/24 se fera un plaisir de vous aider à planifier votre séjour.Vous séjournerez à proximité des stations de métro Gare de l'Est et Gare du Nord et de la gare du Nord. L’aéroport Paris-Charles-de-Gaulle, le plus proche, est situé à 17 km de l’hôtel. "
